Gia,Log_Gia,Tuoi_xe,Log_So_Km_da_di,Km_moi_nam,Tuoi_xe_x_Km,TinhTrang_x_XuatXu,LoaiXe_x_PhanKhuc,Vung_mien_code,Thuong_hieu_code,Dong_xe_code,Loai_xe_code,Tinh_trang_code,Xuat_xu_code,Phan_khuc_dung_tich_code
19000000.0,16.759949589762293,6,8.517393171418904,819.672131147541,51.10435902851343,7,0,1,12,180,0,1,7,0
7000000.0,15.76142084987672,15,9.61587214452889,993.3774834437087,144.23808216793336,6,0,1,12,137,1,1,6,0
4300000.0,15.274125813221904,14,10.915106645867503,3900.7092198581563,152.81149304214506,3,0,1,29,76,1,1,3,0
32000000.0,17.281246492014,3,10.786531690616647,15601.290322580644,32.35959507184994,3,0,1,37,57,0,1,3,0
12500000.0,16.341239282272525,7,10.308985993422082,4225.352112676057,72.16290195395457,7,0,1,12,177,2,1,7,0
87000000.0,18.28141868811311,3,9.15915233520675,3064.516129032258,27.477457005620252,7,0,1,12,139,1,1,7,0
43000000.0,17.57671069691365,6,8.517393171418904,819.672131147541,51.10435902851343,4,0,1,14,48,1,1,4,0
3200000.0,14.978661680269907,16,9.210440366976517,621.1180124223602,147.36704587162427,3,0,1,30,14,1,1,3,0
21000000.0,16.860033043306743,6,8.987321812850125,1311.4754098360656,53.923930877100744,7,0,1,24,194,1,1,7,0
70000000.0,18.064005814299346,5,10.859018228147887,10196.078431372549,54.29509114073944,3,0,1,12,139,1,1,3,0
10800000.0,16.195056784687036,1,6.2166061010848646,454.5454545454545,6.2166061010848646,6,4,1,12,177,2,1,6,2
35500000.0,17.385043282614657,6,9.90353755128617,3278.688524590164,59.42122530771702,7,0,1,37,121,0,1,7,0
49000000.0,17.707330876483063,4,7.218176838403408,332.43902439024396,28.87270735361363,4,2,1,23,41,1,1,4,2
64999999.0,17.98989782785991,10,10.12667110305036,2475.2475247524753,101.26671103050359,5,0,1,12,34,2,1,5,0
11500000.0,16.257857680289998,13,10.819798284210286,3816.7938931297713,140.65737769473373,7,0,1,12,88,1,1,7,0
23000000.0,16.951004817371683,3,11.695255355062795,38709.67741935484,35.08576606518838,7,0,1,12,48,2,1,7,0
12800000.0,16.36495580701484,7,0.6931471805599453,0.14084507042253522,4.852030263919617,7,0,1,12,7,2,1,7,0
4300000.0,15.274125813221904,21,10.596659732783579,1895.734597156398,222.52985438845513,8,0,1,30,14,1,1,8,0
45000000.0,17.622173069956816,5,11.289794413577894,15686.274509803923,56.44897206788947,7,0,1,12,11,1,1,7,0
22500000.0,16.929025911619092,6,10.736418414365376,7540.983606557377,64.41851048619226,7,0,1,12,172,1,1,7,0
10800000.0,16.195056784687036,16,10.839600519357369,3167.701863354037,173.4336083097179,7,0,1,12,11,1,1,7,0
25800000.0,17.065885088651534,4,9.61587214452889,3658.536585365854,38.46348857811556,8,0,1,12,63,2,1,8,0
140000000.0,18.757152987716434,8,6.907755278982137,123.33333333333334,55.262042231857095,4,1,1,12,139,1,1,4,1
12000000.0,16.300417291085605,8,10.945335467367387,6998.518518518519,87.5626837389391,8,0,1,12,11,1,1,8,0
25990000.0,17.07322244509401,3,8.497194544909547,1580.6451612903224,25.49158363472864,3,0,1,37,100,1,1,3,0
120000000.0,18.603002309079653,5,1.0986122886681098,0.3921568627450981,5.493061443340549,3,0,1,12,48,0,1,3,1
32000000.0,17.281246492014,6,10.203629181337648,4426.229508196721,61.22177508802589,5,0,1,12,167,1,1,5,0
36000000.0,17.399029524198163,2,8.090708716083997,1553.8095238095239,16.181417432167994,7,0,1,12,103,1,1,7,0
40000000.0,17.50439003707821,1,6.90875477931522,909.090909090909,6.90875477931522,7,0,1,12,11,1,1,7,0
6800000.0,15.732433317205148,14,10.043944905231385,1632.2695035460993,140.6152286732394,7,0,1,12,177,2,1,7,0
8500000.0,15.955576839107596,15,11.429554725537322,6092.71523178808,171.44332088305984,7,0,1,12,88,1,1,7,0
120000000.0,18.603002309079653,6,9.350189267092581,1885.2459016393443,56.10113560255549,8,0,1,26,80,0,1,8,1
12900000.0,16.372737946851277,15,9.210340371976184,662.1854304635762,138.15510557964276,3,0,1,12,11,1,1,3,0
17000000.0,16.648723960844016,1,8.987321812850125,7272.727272727272,8.987321812850125,7,4,1,14,48,2,1,7,2
72000000.0,18.09217669086922,6,10.463131911491967,5737.704918032788,62.7787914689518,7,0,1,12,139,1,1,7,0
106000000.0,18.478949661510303,39,10.819798284210286,1278.772378516624,421.9721330842012,8,0,1,12,127,0,1,8,1
39000000.0,17.479072229734946,2,9.305741456739435,5238.095238095238,18.61148291347887,7,0,1,12,11,1,1,7,0
370.0,5.916202062607435,1,9.093918908958932,8090.90909090909,9.093918908958932,4,0,1,32,165,0,1,4,1
26000000.0,17.073607134447293,1,7.783640596221253,2181.8181818181815,7.783640596221253,8,0,1,37,81,1,1,8,0
9200000.0,16.034714150714915,27,9.392745258631441,442.8044280442804,253.6041219830489,3,4,1,12,35,2,1,3,2
1.0,0.6931471805599453,6,11.302216779257382,13278.688524590165,67.8133006755443,4,0,1,12,167,1,1,4,0
7300000.0,15.803385043104912,15,10.596659732783579,2649.0066225165565,158.9498959917537,7,0,1,37,143,2,1,7,0
16555555.0,16.62223231341915,2,8.529714471969909,2410.4761904761904,17.059428943939817,7,0,1,12,177,2,1,7,0
3000000.0,14.914123179965662,18,9.210440366976517,552.4861878453038,165.7879266055773,7,2,1,30,14,1,1,7,2
28000000.0,17.147715103853763,3,3.4339872044851463,9.67741935483871,10.30196161345544,7,0,1,14,48,0,1,7,2
27000000.0,17.11134746100564,7,10.175992533388062,3699.154929577465,71.23194773371642,3,0,1,37,57,0,1,3,0
